Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Piazzale Ferrara,2588,7,POINT (9.220380070256255 45.43790708274563)
Via Avancinio Avancini,2588,7,POINT (9.176588236598265 45.42981469867021)
Via Comacchio,2588,7,POINT (9.219350101994053 45.43780002530562)
Via dei Cinquecento,2588,7,POINT (9.223199024078344 45.43693087606375)
Piazzale Bologna,2588,7,POINT (9.223808635576791 45.44440659087515)
Via Bottoni,2588,7,POINT (9.205880293686658 45.43131211424757)
Via D'Ascanio Corradino,2588,7,POINT (9.177004863187189 45.41843613373981)
Via Luigi Mainoni D'Intignano,2588,8.13,POINT (9.203710595990316 45.50947855248992)
Via Gaetano Boggiali,2588,7,POINT (9.176925099071539 45.42863005559363)
Via Antegnati,2588,7,POINT (9.197519056706037 45.42511981540644)
Via Abondi Antonio,2588,7,POINT (9.201354981822778 45.42347502545545)
Via Volvinio,2588,7,POINT (9.183615074307795 45.43552002758984)
Via Fratelli Rosselli,2588,7,POINT (9.227780206797295 45.44100665268471)
Via Bugatti Ettore,2588,7,POINT (9.177129545351548 45.41637536794386)
Via Enrico Caviglia,2588,7,POINT (9.230264296667823 45.44206740719836)
Via Ulisse Dini,2588,7,POINT (9.179622256578915 45.42857079030444)
Via Antonio Pasinetti,2588,7,POINT (9.199517699130018 45.43695066417519)
Via Tomaselli Giuseppe,2588,7,POINT (9.178760107224235 45.41701003462869)
Via Felice Perussia,2588,7,POINT (9.18524295469982 45.43252501621019)
Via Stadera,2588,7,POINT (9.182220073036021 45.43427004964755)
Via Andrea Del Castagno,2588,7,POINT (9.225911335167709 45.44327068016522)
Via San Giacomo,2588,7,POINT (9.173171720931341 45.42823584985977)
Via Giorgio Savoia,2588,7,POINT (9.178490084213422 45.43168004156634)
Via Nicola Palmieri,2588,7,POINT (9.17861034510276 45.43495522427914)
Via Roberto Bellarmino,2588,7,POINT (9.183926992079552 45.43273504956692)
Via dei Missaglia,2588,7,POINT (9.178155059543514 45.42763003168052)
Via privata Lassalle,2588,7,POINT (9.182663302883553 45.4309665407072)
Via Tertulliano,2588,7,POINT (9.230913547485672 45.444886512448)
Via Antiquari Jacopo,2588,7,POINT (9.20054240627916 45.42298952466903)
Via Conte Verde,2581,7.88,POINT (9.178870291728874 45.50369285284032)
Via privata Roberto Bracco,2581,7.88,POINT (9.1846865698858 45.49990217500433)
Via Bernardino de Conti,2581,7.88,POINT (9.185226220674098 45.49878807831372)
Via Maniago,2575,7.67,POINT (9.239078836158583 45.48996129034715)
Via degli Anemoni,2567,9.08,POINT (9.129075127172797 45.45435579972106)
Via Paul Valery,2563,10.25,POINT (9.159827734636817 45.4391754780741)
Via Montecucco,2563,10.25,POINT (9.167226156998847 45.44047016785395)
Via privata Bitinia,2563,10.25,POINT (9.159360108505638 45.44097504831896)
Via privata Fratelli Ciani,2563,10.25,POINT (9.144910084616825 45.44282003093642)
Via Giorgio Merula,2563,10.25,POINT (9.129487166361631 45.43753784091626)
Via Giovanni Enrico Pestalozzi,2563,10.25,POINT (9.15524583422927 45.44613762400714)
Via Giuseppe Adami,2563,10.25,POINT (9.160570078138534 45.43815506176938)
Via Luigi Brugnatelli,2563,10.25,POINT (9.156809333522265 45.44650671401895)
Via Giuseppe Definetti,2563,10.25,POINT (9.158046313625022 45.42491474745817)
Via Guglielmo Guintellino,2563,10.25,POINT (9.143691294760183 45.44335349474567)
Via Palmanova,2563,8,POINT (9.238109107172017 45.49772927183373)
Via Guido Coppin,2563,10.25,POINT (9.134145080640053 45.44040503699351)
Via Andrea Ponti,2563,10.25,POINT (9.156214485166432 45.44641819314996)
Via privata Michele Faraday,2563,10.25,POINT (9.14512485110297 45.44378994969019)
Via Gerolamo Avogadro,2563,10.25,POINT (9.144485080216313 45.44346503934052)
Via Franco Tosi,2563,10.25,POINT (9.157185170626022 45.44407436008962)
via Padova,2563,8,POINT (9.254210060115071 45.51117505902015)
Via Valsolda,2563,10.25,POINT (9.170448478032672 45.44294655487899)
Via Bari,2563,10.25,POINT (9.144813355145827 45.43785931730162)
Via Giuba,2563,8,POINT (9.238411683553849 45.49971134404792)
Via Benevento,2563,10.25,POINT (9.152265078924728 45.43784002793852)
Piazza Maggi,2563,10.25,POINT (9.170804656793546 45.4373854794144)
Via Buccinasco,2563,10.25,POINT (9.123319036850049 45.43546981886957)
Piazza Guglielmo Miani,2563,10.25,POINT (9.154729390568892 45.43696003287889)
Piazza Giorgio Simone Ohm,2563,10.25,POINT (9.148364249987228 45.44235588047894)
Via Teramo,2563,10.25,POINT (9.146710098323751 45.43541952683658)
Via Taranto,2563,10.25,POINT (9.150555350324156 45.43807964595234)
Via Santa Rita da Cascia,2563,10.25,POINT (9.153978079353722 45.43795871650515)
Via Dionigi Bussola,2563,10.25,POINT (9.158698870613094 45.44590610102611)
Via San Giuseppe Cottolengo,2563,10.25,POINT (9.144290286643132 45.44148791307848)
Via Salerno,2563,10.25,POINT (9.147838327038151 45.43785059318341)
Via Ernesto Rossi,2563,10.25,POINT (9.14085441357512 45.44289270627031)
Via Rimini,2563,10.25,POINT (9.171021515762042 45.43915573336873)
Via privata Saverio Griffini,2563,10.25,POINT (9.144705105174666 45.44313005658013)
Via privata Parenzo,2563,10.25,POINT (9.140717249214269 45.44122124801705)
Via Guido Martinelli,2563,10.25,POINT (9.132413447460577 45.44052766486978)
Via privata Pandino,2563,10.25,POINT (9.141741433653989 45.44373802140172)
Viale Famagosta,2563,10.25,POINT (9.164579237953163 45.4373642371748)
Via Ambrogio Portaluppi,2563,10.25,POINT (9.153500142433407 45.44004534235751)
Via Francesco Olgiati,2563,10.25,POINT (9.146290674469146 45.4400891970114)
Via Capo Palinuro,2563,10.25,POINT (9.15096587033247 45.4384830801542)
Via Adriatico,2550,8,POINT (9.197639039959414 45.51951585098102)
Via privata Cherso,2550,8,POINT (9.198250758830513 45.52065482705371)
Via Luigi Ornato,2550,8,POINT (9.190992237949132 45.51674074156961)
Via Giovanni Terruggia,2550,8,POINT (9.187810242614617 45.51640953237184)
Via Fulcieri Paulucci di Calboli,2550,8,POINT (9.192279561208801 45.51574104328251)
Via privata Cesare Spellanzon,2550,8,POINT (9.188200099947025 45.51614504564374)
Via Emilio Cecchi,2550,8,POINT (9.199315931815367 45.51825186345407)
Via dei Conti Biglia,2550,8,POINT (9.184789682188098 45.51712639009541)
Via Cattaro,2550,8,POINT (9.193575079177307 45.51823505224577)
Via privata Hermada,2550,8,POINT (9.189500189783013 45.5146091553141)
Via privata Paolo Rotta,2550,8,POINT (9.18998511004726 45.51634503785351)
Via Antonio Maffi,2550,8,POINT (9.18663222673921 45.51849614227365)
Via privata Raffaello Giolli,2550,8,POINT (9.210202445648537 45.52515346775699)
Via Ruvenzori,2550,8,POINT (9.200953752470237 45.52094004004304)
Via Umberto Cagni,2550,8,POINT (9.202853396769429 45.52158559617594)
Via val D'Ossola,2550,8,POINT (9.187307405903258 45.51651637788686)
Via Val di Ledro,2550,8,POINT (9.188958899933429 45.51597670697246)
Via Luigi Beccali,2550,8,POINT (9.20678418534562 45.51968992713903)
Via Novara,2540,9,POINT (9.125461661337924 45.46943956244147)
Via Acerenza,2538,7.5,POINT (9.170025940919679 45.50051626861224)
Via Adelina Patti,2538,7.5,POINT (9.17102106469569 45.49846395791216)
Via Cafiero,2538,7.5,POINT (9.173126924444214 45.49959313389049)
Via Giacinto Collegno,2538,7.5,POINT (9.178148310492082 45.50143991839428)
Via Giuseppe Tartini,2538,7.5,POINT (9.174712619756518 45.50635183636671)
Via Nino Besozzi,2538,7.5,POINT (9.173070042646183 45.50086669169068)
Via della Chiesa Rossa,2535,8,POINT (9.172407826530895 45.43086404882395)
Via Carlo Carrà,2532,7.38,POINT (9.149600094719602 45.51672503143396)
Via Carlo Cicogna Mozzoni,2532,7.38,POINT (9.158658651187329 45.51558650070693)
Via privata Baveno,2532,7.38,POINT (9.177170102101357 45.50994002749675)
Via Cheren,2532,7.38,POINT (9.152675079718549 45.51694004820517)
Via Comasina,2532,7.38,POINT (9.162168116360709 45.53108943948932)
Via Sandro Camasio,2532,7.38,POINT (9.154369301874125 45.51718626302857)
Via Corbetta,2532,7.38,POINT (9.150785086281033 45.51610504301082)
Via Dalmagià,2532,7.38,POINT (9.151702989461505 45.51652278140414)
Via Gentile da Fabriano,2532,7.38,POINT (9.150320100202364 45.51590502984631)
Via Enrico Sertoli,2532,7.38,POINT (9.15006009356587 45.51693003183087)
Via Ermete Zacconi,2532,7.38,POINT (9.151220065146319 45.51630505617536)
Via Velleggio,2532,7.38,POINT (9.179405094673584 45.50657504960269)
Via Vincenzo Caldesi,2532,7.38,POINT (9.163905244333622 45.51308007209506)
Viale Affori,2532,7.38,POINT (9.170785061628933 45.5170500397296)
Via Fabriano,2532,7.38,POINT (9.175755045813066 45.51404208766808)
Via privata Pozzuoli,2532,7.38,POINT (9.169505103104513 45.51257003821087)
Via Giuseppe Molteni,2532,7.38,POINT (9.169961169319855 45.51806661169552)
Via Giovanni Grasso,2532,7.38,POINT (9.15441512090824 45.51770504355324)
Via Giacomo Filippo Besta,2532,7.38,POINT (9.16423194033883 45.51899411302724)
Via privata Calizzano,2532,7.38,POINT (9.160849931246442 45.52957370399533)
Via Bir Acheim,2532,7.38,POINT (9.153322918106127 45.51768631637649)
Via Beniamino Gigli,2532,7.38,POINT (9.150490085198768 45.51713505318254)
Via Siro Capsoni,2532,7.38,POINT (9.173525063867459 45.52799504507705)
Via Nino Martoglio,2532,7.38,POINT (9.153465822948489 45.51687879118073)
Piazza Bruzzano,2532,7.38,POINT (9.173755372242336 45.52718740160432)
Piazzetta Andrea Alciato,2532,7.38,POINT (9.174235052975931 45.52849003836907)
Via Alessandro Bisnati,2532,7.38,POINT (9.178090539300129 45.52247212771523)
Via Antonio Martinazzoli,2532,7.38,POINT (9.175970106933249 45.52880002210327)
Via Bresso,2532,7.38,POINT (9.176810099359969 45.52751002624981)
Via Dora Riparia,2532,7.38,POINT (9.168150084637176 45.52677005088272)
Via Pasquale Miglioretti,2532,7.38,POINT (9.171885102601664 45.52171004261901)
Via Ennio Morlotti,2532,7.38,POINT (9.169493914436087 45.53051441733614)
Vicolo Diomede Pantaleoni,2532,7.38,POINT (9.175710012729684 45.52935309858811)
Via Paolo Buzzi,2532,7.38,POINT (9.149131299699256 45.51659048565899)
Piazza Cardinale Pietro Gasparri,2532,7.38,POINT (9.163031933919566 45.52638816430866)
Piazza Santa Giustina,2532,7.38,POINT (9.169897047239678 45.51728909991825)
Via Gregorio Leti,2532,7.38,POINT (9.149855262551267 45.51768769193436)
Via Alessandro Astesani,2532,7.38,POINT (9.167786549117626 45.52120503754907)
Via Angelo Musto,2532,7.38,POINT (9.123268937555766 45.55050715866167)
Via Annunzio Cervi,2532,7.38,POINT (9.158692350139228 45.5166162802024)
Via Antonio Leorni,2532,7.38,POINT (9.138965094061092 45.55483004336935)
Via Arcisate,2532,7.38,POINT (9.149880092195176 45.5157100458237)
Via Trevi,2532,7.38,POINT (9.180383703472103 45.50740465436687)
Viale dei Missaglia,2528,7.44,POINT (9.178155059543514 45.42763003168052)
Via Passo Sella,2525,7.38,POINT (9.245161617123825 45.48816623244924)
Via 8 ottobre 2001,2513,7.25,POINT (9.251490320755565 45.4270169950651)
Via Marignano,2513,7.25,POINT (9.265788136210393 45.43480405349937)
Via Privata Bernabò Visconti,2500,8.88,POINT (9.114924941377662 45.47400282702116)
Via Cascina Corba,2500,8.88,POINT (9.129949676871448 45.45189794212845)
Viale degli Ailanti,2500,7.88,POINT (9.153291128148719 45.50059175754771)
Via delle Camelie,2500,8.88,POINT (9.130726574916235 45.45319407130529)
Viale dei Pioppi,2500,7.88,POINT (9.158254360390361 45.49809590618343)
Viale Legioni Romane,2500,8.88,POINT (9.131131918595683 45.45992136149994)
Via Rombon,2475,7.08,POINT (9.246466061971303 45.48667381462767)
Viale Achille Papa,2463,8.25,POINT (9.141859596754761 45.48941259168443)
Via Arnaldo Fusinato,2463,8.25,POINT (9.153817716938573 45.50562043931276)
Via Castellino da Castello,2463,8.25,POINT (9.158055775545394 45.49647370284919)
Via Michele Pericle Negrotto,2463,8.25,POINT (9.147093607759093 45.50624566568812)
Via Giuseppe Sercognani,2463,8.25,POINT (9.149959443556094 45.49996404087648)
Via Maggianico,2463,8.25,POINT (9.144831064233646 45.50314127111591)
Via Demetrio Cretese,2463,8.25,POINT (9.146363552730532 45.5018620498595)
Via Grosseto,2463,8.25,POINT (9.150299167204585 45.49968007047709)
Via Brivio,2463,8.25,POINT (9.143803365530591 45.50308574112919)
Via privata Branda Castiglioni,2463,8.25,POINT (9.146781596564665 45.50222813567317)
Via Giuseppina Pizzigoni,2463,8.25,POINT (9.146001805922889 45.49939767126482)
Via Privata Luigi Zamboni,2463,8.25,POINT (9.138490091608134 45.50322503340581)
Via privata Giuseppe Giannini,2463,8.25,POINT (8.94372563813139 45.55598794845638)
Via Privata Giovanni Battista Giorgini,2463,8.25,POINT (9.124258557489954 45.50220235105458)
Via privata Giocondo Albertolli,2463,8.25,POINT (9.145520077620418 45.49866504757604)
Via privata Capodistria,2463,8.25,POINT (9.131453745622389 45.49808388935902)
Via Pietro da Cemmo,2463,8.25,POINT (9.157665078135977 45.49326504836478)
Via Pier Francesco Mola,2463,8.25,POINT (9.142012971884437 45.49708718806556)
Via Pico della Mirandola,2463,8.25,POINT (9.134315245258863 45.49577033026556)
Via Perin del Vaga,2463,8.25,POINT (9.132990800278726 45.49945342284555)
Via Panfilo Nuvolone,2463,8.25,POINT (9.141322858516455 45.49773420873824)
Via Mauro Fiamminghino,2463,8.25,POINT (9.145151788613958 45.49918676735695)
Via Mario Pannunzio,2463,8.25,POINT (9.136368039408117 45.5025923124401)
Via Marcantonio dal Re,2463,8.25,POINT (9.146655661738757 45.49484860781929)
Via Magreglio,2463,8.25,POINT (9.132887547112919 45.49604308153873)
Via Luigi Veratti,2463,8.25,POINT (9.149008534496213 45.49235912814754)
Via Ludovico di Breme,2463,8.25,POINT (9.139194675881333 45.49727580917532)
Via Lucilio Gaio,2463,8.25,POINT (9.132520122980935 45.49767504003722)
Via privata Marzabotto,2463,8.25,POINT (9.054120075448481 45.52836504323798)
Via privata Mottarone,2463,8.25,POINT (8.907230072145921 45.52645503800663)
Via privata Somalia,2463,8.25,POINT (8.933840058247497 45.56510003309934)
Via Alessandro Arnaboldi,2463,8.25,POINT (9.148985463114297 45.48998941160666)
Via Vico Magistretti,2463,8.25,POINT (9.147970914155554 45.48916388046293)
Via Roberto Sambonet,2463,8.25,POINT (9.148359436463705 45.48852543793877)
Via Luigi Maria Brunelli,2463,8.25,POINT (9.147520125446619 45.48850109868334)
Via Luigi Bizzozzero,2463,8.25,POINT (9.14561508649291 45.49131003231336)
Via Francesco Peverelli,2463,8.25,POINT (9.146472613615995 45.49062496339855)
Via Don Luigi Palazzolo,2463,8.25,POINT (9.143780078340214 45.48792504262548)
Piazzale Portello,2463,8.25,POINT (9.14602399842302 45.49020681194344)
Via Rosina Ferrario Grugnola,2463,8.25,POINT (9.147343758274987 45.49935863152874)
Piazzale Francesco Accursio,2463,8.25,POINT (9.144798218740407 45.49294733925629)
Largo Marco Zanuso,2463,8.25,POINT (9.147823846132587 45.48959950779914)
Vicolo Mapelli,2463,8.25,POINT (9.136559065847992 45.50579454628046)
Via Trapani,2463,8.25,POINT (9.133996617154052 45.50171768268833)
Via Salvator Rosa,2463,8.25,POINT (9.142076177901259 45.49591474140154)
Via Inverigo,2463,8.25,POINT (9.131664662391778 45.49503860999974)
Via Casella,2463,8.25,POINT (9.146426487654448 45.49590490670911)
Via Airaghi,2463,8.25,POINT (9.078973262823002 45.47584307033704)
Via Ambrogio Figino,2463,8.25,POINT (9.141394479760752 45.49551502120855)
Via Ampezzo,2463,8.25,POINT (9.140525091970588 45.49685503844957)
Via Aniene,2463,8.25,POINT (9.139328514998578 45.49506522700575)
Via Argenta,2463,8.25,POINT (9.140920089157717 45.49590004631126)
Via Baldo degli Ubaldi,2463,8.25,POINT (9.143737849330696 45.49723729901775)
Via privata dei Frassini,2463,8.25,POINT (8.890238951321042 45.58992553053724)
Via Barnaba Oriani,2463,8.25,POINT (9.131865119134476 45.50054150223663)
Via Calisto da Lodi,2463,8.25,POINT (9.141445089663122 45.49729504645676)
Piazza John Fitzgerald Kennedy,2463,8.25,POINT (9.129861804197493 45.49533763541793)
Via Grosio,2463,8.25,POINT (9.122610926321844 45.49891493999004)
Via Giorgio Perlasca,2463,8.25,POINT (9.127464872410977 45.50672789928691)
Via Giovanni Maria Bicetti de Buttinoni,2463,8.25,POINT (9.141578366712029 45.50222644193867)
Via Chiari,2463,8.25,POINT (9.149631409614502 45.49527649170403)
Via Giovanni Della Casa,2463,8.25,POINT (9.1348431342624 45.49494502526499)
Via privata delle Querce,2463,8.25,POINT (8.940025064600647 45.39820502530699)
Via Civenna,2463,8.25,POINT (9.132276380362606 45.49550184979934)
Via dei Cignoli,2463,8.25,POINT (9.133058964272859 45.49507280749462)
Via Catullo,2463,8.25,POINT (9.134828880644603 45.49739641936741)
Via Fridtjof Nansen,2463,8.25,POINT (9.146880083320141 45.49378504068302)
Via Gabriello Chiabrera,2463,8.25,POINT (9.134518106015159 45.4942306888799)
Via Corrado Alvaro,2450,7.75,POINT (9.233120102078246 45.51224004268285)
Via dei Dumas,2450,7.75,POINT (9.227150049632016 45.51175005757797)
Via Cesare Pavese,2450,7.75,POINT (9.233150109291614 45.51132505317746)
Via Carlo Zucchi,2450,7.75,POINT (9.221260086270632 45.50742503744897)
Via Costantino Lascaris,2450,7.75,POINT (9.232741398862675 45.51125666769801)
Via Luigi Cislaghi,2450,7.75,POINT (9.22677180748093 45.5122388712167)
Via Euclide,2450,7.75,POINT (9.227310102073147 45.51778504881905)
Via Dino Campana,2450,7.75,POINT (9.232000070266423 45.51195276453093)
Via Don Carlo Porro,2450,7.75,POINT (9.229240766775833 45.5123045134384)
Via Enrico Somarè,2450,7.75,POINT (9.232710101284425 45.51205503312501)
via Ernesto Breda,2450,7.75,POINT (9.218233167031507 45.51511178622034)
Via Alfredo Soffredini,2450,7.75,POINT (9.224610363861064 45.51720087643865)
Via Ezio Adolfato,2450,7.75,POINT (9.218831355543983 45.51551313020084)
Via Francesco Zambrini,2450,7.75,POINT (9.233492822885356 45.51178004383658)
Via Fratelli Leonardo ed Erenesto Bazzaro,2450,7.75,POINT (9.231597396155374 45.51118000393222)
Via Gianfranco Mattei,2450,7.75,POINT (9.222757670725056 45.51441543740085)
Via Giovanni Carnovali,2450,7.75,POINT (9.230162109130839 45.51315119270814)
Via Apelle,2450,7.75,POINT (9.22685079165897 45.50883518180429)
Via privata Scipione Piattoli,2450,7.75,POINT (9.231750080004218 45.49830502387989)
Via Alceo,2450,7.75,POINT (9.229094828959752 45.51553428759591)
Via privata Paolo dal Pozzo Toscanelli,2450,7.75,POINT (9.241842490100995 45.50365492083554)
Via Costantino Bresciani Torroni,2450,7.75,POINT (9.243757407385978 45.50322270780182)
Via Petro Valdo,2450,7.75,POINT (9.24837009480612 45.50681003625823)
via Pieri,2450,7.75,POINT (9.244584460791099 45.5072112036114)
Via privata Flumendosa,2450,7.75,POINT (9.246990418549338 45.50573431910738)
Via privata Gioacchino Belli,2450,7.75,POINT (9.317496120814388 45.43292327595331)
Via privata Giovanni da Verrazzano,2450,7.75,POINT (9.398324417666192 45.5672864596357)
Via privata Pietro della Valle,2450,7.75,POINT (9.250934770115222 45.5086101058007)
Via Vittorio Bottego,2450,7.75,POINT (9.244410106560409 45.50374504667882)
Via Giulio Bechi,2450,7.75,POINT (9.222115082304043 45.50703504844897)
Via privata Vipiteno,2450,7.75,POINT (9.241753739833653 45.51251592709006)
Via Regina Teodolinda,2450,7.75,POINT (9.243958550467021 45.50264313879191)
Via Rovigo,2450,7.75,POINT (9.246326367435541 45.50527426860807)
Via San Giovanni Battista de la Salle,2450,7.75,POINT (9.242645087299238 45.50199503102434)
via San Mamete,2450,7.75,POINT (9.252134603372916 45.51157602858638)
Via Scutari,2450,7.75,POINT (9.232745095730181 45.49865004396935)
Via Giovanni Livraghi,2450,7.75,POINT (9.224008953394801 45.516211540729)
Via privata Monte Prato Magno,2450,7.75,POINT (9.22625761818396 45.51507325517657)
Via Giuseppe Pelitti,2450,7.75,POINT (9.224447804447745 45.51285820582467)
Via privata Nervi,2450,7.75,POINT (9.378700579576998 45.49792951359784)
Via Virgilio Ranzato,2450,7.75,POINT (9.226160963568285 45.50838511569641)
Via Vincenzo Russo,2450,7.75,POINT (9.228082772142413 45.49775495227617)
Via Guido Capelli,2450,7.75,POINT (9.219394093383436 45.5163566790952)
Via Solone,2450,7.75,POINT (9.222371670492508 45.51282359751512)
Via Sassari,2450,7.75,POINT (9.229765077694211 45.50646002893636)
Via San Erlembardo,2450,7.75,POINT (9.221433277013814 45.50547307731702)
Via privata Val di Non,2450,7.75,POINT (9.228430091975454 45.50991502847053)
Via privata Val di Fiemme,2450,7.75,POINT (9.229294748548266 45.51042362262039)
Via privata Ottaviano Vimercati,2450,7.75,POINT (9.217720073283516 45.51146002277335)
Via Tofane,2450,7.75,POINT (9.21958905071333 45.50328090019678)
Via Parmenide,2450,7.75,POINT (9.227609174747915 45.51510723845401)
Via privata Filippo Tommaso Marinetti,2450,7.75,POINT (8.811551222336211 45.57393496304117)
Via Luigi dalla Piccola,2450,7.75,POINT (9.225910072785766 45.50333005865259)
Via Martino Lutero,2450,7.75,POINT (9.220005636179051 45.51232441215583)
Via Lucio Giunio Columella,2450,7.75,POINT (9.228207555278001 45.51476466249785)
Via Pindaro,2450,7.75,POINT (9.228765157366187 45.51669959893686)
Via Pompeo Bettini,2450,7.75,POINT (9.233545064569228 45.51214503381036)
Via privata Eraclito,2450,7.75,POINT (9.228360054604195 45.51845317187593)
Via privata Esopo,2450,7.75,POINT (9.22894971060119 45.51465414349206)
Viale Ercole Marelli,2446,7.83,POINT (9.201275072619922 45.4426800531534)
Via Cascina Merezzale,2438,7.5,POINT (9.239696218580733 45.44330276108998)
Via Forlanini,2438,7.5,POINT (9.232570181675916 45.47181223653615)
Via Eugenio Bellosio,2438,7.5,POINT (9.242594979255227 45.46128774157202)
Via Edoardo Giraud,2438,7.5,POINT (9.244340075759368 45.4451800395945)
Via del Liri,2438,7.5,POINT (9.248830959019486 45.44524222018427)
Via Decorati al Valor Civile,2438,7.5,POINT (9.240802124823647 45.46096906889829)
Via Dalmazia,2438,7.5,POINT (9.246532318600623 45.45894345707348)
Via Romualdo Bonfadini,2438,7.5,POINT (9.226728837861355 45.44936443103045)
Via Bruno Maderna,2438,7.5,POINT (9.242360102591277 45.45391119986753)
Via Alfonso Cossa,2438,7.5,POINT (9.245488427580263 45.46057366091222)
Via Alessandro Mazzuccotelli,2438,7.5,POINT (9.244751512445742 45.46192046956052)
San Mirocle,2438,7.5,POINT (9.24572654485152 45.43486113812342)
Via Ucelli di Nemi Guido,2438,7.5,POINT (9.263388668916525 45.43956719934852)
Via San Venerio,2438,7.5,POINT (9.246760098844192 45.43663003735088)
Via Abelardo Pecorini,2438,7.5,POINT (9.250731554578559 45.45901296373427)
Via Manzù,2438,7.5,POINT (9.239812392485675 45.43721475065588)
Via Rilke Maria Rainer,2438,7.5,POINT (9.265530600557868 45.43853772671665)
Via Monte Penice,2438,7.5,POINT (9.242542627324275 45.43400433786935)
Via Gaudenzo Fantoli,2438,7.5,POINT (9.259283197137092 45.45464357999849)
Via Melotti,2438,7.5,POINT (9.240465080011859 45.43675503248198)
Via Monte Oliveto,2438,7.5,POINT (9.263939446847774 45.44311309858711)
Via Gino Severini,2438,7.5,POINT (9.241360099632914 45.43738005004701)
Via del Futurismo,2438,7.5,POINT (9.244473125916265 45.43576349310988)
Via degli Umiliati,2438,7.5,POINT (9.265433722462836 45.44304992845166)
Via Carlo Parea,2438,7.5,POINT (9.263346717015569 45.4431823216873)
Via Monte Velino,2438,7.5,POINT (9.226695145978363 45.45301849484204)
Via Camaldoli,2438,7.5,POINT (9.266189202342648 45.43607605526602)
Via Busseto,2438,7.5,POINT (9.250754988708827 45.42679058615494)
Via Montecassino,2438,7.5,POINT (9.265221374164085 45.44374002862895)
Via Bruno Cassinari,2438,7.5,POINT (9.242210108433937 45.43697004925319)
Via Pizzolpasso F.,2438,7.5,POINT (9.243958571472835 45.43354879015691)
Via A. e P. Cascella,2438,7.5,POINT (9.242260106486398 45.4380450492902)
Via Gaudenzio Fantoli,2438,7.5,POINT (9.257538721767077 45.45433895203182)
Via Val Caffaro,2438,7.5,POINT (9.242885103096668 45.4712400471192)
Via Gianfranco Malipiero,2438,7.5,POINT (9.245575224364474 45.4529920022546)
Via Maria Montessori,2438,7.5,POINT (9.24037314488899 45.45980327970495)
Via Monluè,2438,7.5,POINT (9.259595097629173 45.44985003790346)
Via Oreste Salomone,2438,7.5,POINT (9.241430046614937 45.4474505623442)
Via Trani,2438,7.5,POINT (9.245225120915663 45.45401504750085)
Via Zante,2438,7.5,POINT (9.249076968982019 45.45656843664338)
Viale Ungheria,2438,7.5,POINT (9.251992440194158 45.44789710683838)
Via Luigi Sordello,2438,7.5,POINT (9.24400094021024 45.44060651926865)
Strada Provinciale Cassanese,2429,7.04,POINT (9.391462653763163 45.50752969591365)
Via Bologna,2411,7.5,POINT (9.022020068495536 45.50046005309581)
Via Fratelli Fraschini,2388,6.75,POINT (9.17964772105133 45.41705312802348)
Viale pedonale Maria Grazia Cutuli,2375,6.5,POINT (9.341090396119075 45.32840791693473)
Via Giacinto Martorelli,2375,6.5,POINT (9.247012411264544 45.47328844302892)
Via Silvio Zambaldi,2375,6.5,POINT (9.246406592827197 45.4727232691682)
Via privata Cletto Arrighi,2375,6.5,POINT (9.249095045611767 45.48215003706615)
Via Pietro Pajardi,2375,6.5,POINT (9.248595232718476 45.47924394112771)
Piazza Vigili del Fuoco,2375,6.5,POINT (9.246833504819424 45.47869070811561)
Via Luigi Rizzo,2344,7.75,POINT (9.120236493065649 45.50081994597645)
Via Gallarate,2344,7.75,POINT (9.13059202017217 45.49751126258603)
Via Papa Giovanni XXIII,2341,7.25,POINT (9.187238608149451 45.52945126916834)
Via Vittorio Veneto,2340,7.17,POINT (9.198221871645053 45.47791728907485)
Via Gallarate - Sempione,2304,7.58,POINT (9.144930117365419 45.49307004338738)
Via Creta,2300,8.25,POINT (9.115224645272374 45.45849217085384)
Via dei Garofani,2300,8.25,POINT (9.132934817139054 45.45015450556068)
Via Sella Nuova,2300,8.25,POINT (9.109132048404279 45.45855886677569)
Via Valdagno,2300,8.25,POINT (9.111613146394825 45.46192925483602)
Largo Fatima,2300,8.25,POINT (9.130172756286871 45.44902957716048)
Via Basilea,2300,8.25,POINT (9.114649171715191 45.45655339637598)
Via Berna,2300,8.25,POINT (9.123332132917245 45.45787429599328)
Via Bisceglie,2300,8.25,POINT (9.115475103123265 45.45413036042801)
Via degli Astri,2300,8.25,POINT (9.126568504583362 45.45327829338723)
Via degli Oleandri,2300,8.25,POINT (9.132211356547215 45.45227792339589)
Via dei Ciclamini,2300,8.25,POINT (9.128115002580058 45.45553845844109)
Via dei Geranei,2300,8.25,POINT (9.016655239777918 45.5492084206148)
Via privata Quarto Cagnino,2300,8.25,POINT (9.11628850539898 45.47289931884153)
Via dei Giacinti,2300,8.25,POINT (9.130777566678677 45.45017253668642)
Via dei Giaglioli,2300,8.25,POINT (9.158208036290775 45.38393429896888)
Via dei Gigli,2300,8.25,POINT (9.132587070525368 45.45320623534371)
Via dei Mughetti,2300,8.25,POINT (9.130355119300248 45.45160003260318)
Via dei Narcisi,2300,8.25,POINT (9.128369075678959 45.45053937159334)
Via del Cardellino,2300,8.25,POINT (9.121951698323679 45.45192944533763)
Via del Lucarino,2300,8.25,POINT (9.124290325840137 45.450600091025)
