Indirizzo,Vendita(euro/m2),Affitto(euro/m2),geometry
Via Privata Giacomo Favretto,5388,17,POINT (9.15220007726559 45.45773003271675)
Piazzale Fratelli Zavattari,5388,17,POINT (9.142648019503703 45.47562210509297)
Via Eleuterio Pagliano,5388,17,POINT (9.146149055810149 45.47450844629013)
Via Eschilo,5388,17,POINT (9.158273815848229 45.47453574580376)
Via Romualdo Marenco,5388,17,POINT (9.157586396654422 45.46490800870212)
Via Filippo Carcano,5388,17,POINT (9.148634513234441 45.47502182748968)
Via Gaetano Previati,5388,17,POINT (9.148605105348029 45.47125422579222)
Via Romolo Gessi,5388,17,POINT (9.153124414321647 45.45804852544006)
Via Gattamelata,5388,17,POINT (9.155310000000043 45.48150000000004)
Via Pietro Pancrazi,5388,17,POINT (9.166193156570449 45.477634926962)
Via Paris Bordone,5388,17,POINT (9.145917949171146 45.47343430484153)
Via Paolo Uccello,5388,17,POINT (9.148800179547017 45.48210009696798)
Via Giuseppe Pellizza da Volpedo,5388,17,POINT (9.149525324396802 45.47456512170412)
Via privata Leto Pomponio,5388,17,POINT (9.151850090898492 45.45946003657741)
Via Privata Martinitt,5388,17,POINT (9.149314998629965 45.46591051356558)
Via Novegno,5388,17,POINT (9.150622583665269 45.47671000512744)
Via Mosè Bianchi,5388,17,POINT (9.147522690773171 45.47375381707499)
Via Privata Procopio,5388,17,POINT (9.153830064066611 45.45634004075841)
Via Monte Bianco,5388,17,POINT (9.145062131168977 45.47898632616557)
Via Meloria,5388,17,POINT (9.146050107267698 45.4827600510245)
Via Masaccio,5388,17,POINT (9.146200101425038 45.47953004272632)
Via Quarnero,5388,17,POINT (9.154220115930883 45.46371504686014)
Via Marcello Pucci,5388,17,POINT (9.166351186157504 45.47841573762825)
Via Luigi Giuseppe Faravelli,5388,17,POINT (9.154766169007575 45.48514561023773)
Via Alberto Mario,5388,17,POINT (9.149243875862348 45.4703329162875)
Piazza Buonarroti,5388,17,POINT (9.155479915912382 45.4705656283172)
Piazzale Crivellone,5388,17,POINT (9.146555373013676 45.47242599330055)
Via Stromboli,5388,17,POINT (9.157537399866158 45.458564077433)
Via Privata Frascati,5388,17,POINT (9.146153101490983 45.46899655917393)
Via Vetta d'Italia,5388,17,POINT (9.157353472735215 45.46048258242451)
Via Privata Ischia,5388,17,POINT (8.931150095970906 45.55029004837866)
Piazza Domenico Ghirlandaio,5388,17,POINT (9.146142795182724 45.46712183843447)
Piazzale Stefano Türr,5388,17,POINT (9.153095591060543 45.48405336495129)
